location
"117.294711, 31.866721"
"117.227208, 31.838011"
"117.311481, 31.79983"
"117.278233, 31.852867"
"117.297464, 31.894417"
"117.296844, 31.897118"
"117.299702, 31.896454"
"117.314007, 31.88033"
"117.315839, 31.882828"
"117.323366, 31.84792"
"117.277081, 31.891089"
"117.266632, 31.881913"
"117.282075, 32.044801"
"117.27158, 32.035842"
"117.275804, 32.035886"
"117.247362, 31.856229"
"117.324027, 31.876479"
"117.320552, 31.888627"
"117.234189, 31.835038"
"117.269305, 31.987814"
"117.121898, 31.857095"
"117.281103, 31.865069"
"117.255131, 31.851536"
"117.158701, 31.783945"
"117.17129, 31.748769"
"117.350888, 31.90795"
"117.323455, 31.880639"
"117.320692, 31.87112"
"117.2421, 31.805511"
"117.207247, 31.85256"
"117.479436, 31.897239"
"117.236085, 31.849108"
"117.286156, 31.89167"
"117.185732, 31.865745"
"117.232226, 31.764143"
"117.26933, 31.698878"
"117.299854, 31.873294"
"117.243801, 31.853755"
"117.229591, 31.866077"
"117.229673, 31.865772"
"117.291607, 31.873929"
"117.273463, 31.887916"
"117.268878, 31.886612"
"117.121898, 31.857095"
"117.877747, 31.644965"
"117.313778, 31.890473"
"117.121898, 31.857095"
"117.121898, 31.857095"
"117.121898, 31.857095"
"117.288489, 31.869716"
"117.121898, 31.857095"
"117.285538, 31.852863"
"117.306717, 31.885056"
"117.306717, 31.885056"
"117.30959, 31.894366"
"117.266116, 31.856514"
"117.292122, 31.906059"
"117.295774, 31.885319"
"117.330208, 31.909405"
"117.326734, 31.911184"
"117.210824, 31.823631"
"0, 0"
"117.310748, 31.909282"
"117.314421, 31.913321"
"117.316292, 31.912566"
"117.367881, 31.867607"
"117.266857, 31.847282"
"117.319885, 31.872134"
"117.387024, 31.887208"
"117.220322, 31.82185"
"117.298163, 31.825196"
"117.267606, 31.87454"
"117.335873, 31.882087"
"117.234851, 31.867226"
"117.288604, 31.841095"
"0, 0"
"117.279347, 31.841223"
"117.182934, 31.738922"
"117.271588, 31.836825"
"117.24818, 32.001817"
"117.24818, 32.001817"
"117.28426, 31.819366"
"117.330612, 31.878765"
"117.226515, 31.786564"
"117.287788, 31.260188"
"117.23931, 31.862687"
"117.235953, 31.865473"
"117.240167, 31.865918"
"117.293061, 31.815061"
"117.313622, 31.893666"
"117.311658, 31.851645"
"117.328291, 31.879792"
"117.322794, 31.878196"
"117.322162, 31.877154"
"117.31964, 31.878933"
"117.317881, 31.879321"
"117.322662, 31.878875"
"117.289576, 31.98305"
"117.859092, 31.618646"
