,community,unitprice,totalprice,count
349,保利海上五月花 ,25717.594594594593,312.2432432432432,37
350,保利海上五月花B区 ,22917.74074074074,217.0,27
351,保利海上五月花C区 ,23118.12,238.36,25
352,保利海上五月花D区 ,24107.30769230769,256.84615384615387,26
353,保利罗兰春天 ,13719.266666666666,139.62666666666667,45
354,保利西山林语 ,21853.059523809523,510.4404761904762,84
355,保利香槟国际 ,27558.913978494624,305.4193548387097,93
356,信发小区 ,10907.0,178.0,2
357,信地华地城 ,15431.863354037267,156.52049689440994,161
358,信地城市广场 ,15878.64406779661,96.80508474576271,118
359,信地藏龙阁 ,15494.863636363636,146.95454545454547,66
360,信旺华府骏苑 ,13320.67700258398,137.04651162790697,387
361,信达公园里 ,31544.030303030304,450.8484848484849,33
362,信达天御御公馆 ,18238.125,103.375,8
363,信达天御悦澜园 ,20607.14285714286,214.21428571428572,14
364,信达天御林语苑 ,22041.583333333332,223.48333333333335,12
365,信达天御枫丹阁 ,20510.384615384617,207.23076923076923,13
366,信达天御琅诗郡 ,22720.1,233.6,10
367,信达好第坊 ,19755.0,210.3846153846154,13
368,信达文景雅居 ,15921.59375,202.828125,32
369,信达格兰云天 ,13945.48076923077,134.32692307692307,52
370,信达格兰云天三期 ,13827.867924528302,132.67924528301887,53
371,信达水岸茗都 ,28306.782608695652,329.5217391304348,23
372,信达花样年华 ,28017.909090909092,142.34545454545454,11
373,信达西山银杏 ,19398.032258064515,143.5483870967742,62
374,信达银杏尚郡 ,19538.69230769231,191.69230769230768,26
375,储备局宿舍 ,22206.0,180.0,1
376,元一名城A区 ,14359.948717948719,122.56410256410257,39
377,元一名城B区 ,14524.310344827587,181.651724137931,58
378,元一名城C区 ,14461.72972972973,173.3783783783784,74
379,元一时代广场 ,13188.954545454546,201.27272727272728,22
380,元一时代花园 ,14856.233333333334,200.73333333333332,30
381,元一柏庄 ,16078.456790123457,202.00493827160494,162
382,元一滨水城 ,19622.0,237.53846153846155,26
383,元一美邦国际 ,16827.473684210527,228.6315789473684,38
384,元一高尔夫别墅3期 ,15071.0,525.0,1
385,元一高尔夫别墅五期 ,15291.5,650.0,2
386,元一高尔夫别墅四期 ,16351.0,495.0,1
387,元件五厂 ,21036.0,136.5,2
388,元木雅居 ,11765.0,80.0,2
389,光大国际广场 ,7167.0,52.1,2
390,光明世家 ,26881.567567567567,251.8054054054054,37
391,光明北部湾 ,11131.869565217392,98.62608695652175,46
392,光明巷2号 ,23415.0,134.0,1
393,光明新村 ,22904.14285714286,136.6,28
394,光明苑 ,20259.2,148.35999999999999,10
395,光明观澜公馆 ,13606.75,134.86111111111111,72
396,光明观澜印象 ,15173.611111111111,139.71666666666667,18
397,光盛豪庭 ,11981.047619047618,97.66666666666667,42
398,全椒新村 ,11343.333333333334,81.0,3
399,全椒路129号 ,12928.5,100.0,2
400,八二一小区 ,21588.666666666668,146.0,3
401,八建小区 ,13022.0,100.66666666666667,3
402,八斗路恢复楼 ,7291.0,76.5,2
403,八里岗小区 ,16360.0,149.36666666666667,6
404,公交四公司居民小区 ,13333.3125,89.3,16
405,公交蜀山园 ,11628.727272727272,169.04545454545453,11
406,公交锦绣园 ,12110.0,179.44444444444446,9
407,公元天下 ,19651.0,218.0,2
408,公园新村 ,14834.823529411764,113.08823529411765,17
409,公园西村 ,16371.92857142857,100.42857142857143,14
410,公园道1号 ,14344.808510638299,118.20780141843971,141
411,公园道壹号恢复楼 ,12127.065217391304,98.97826086956522,46
412,公安局宿舍 ,19985.166666666668,132.16666666666666,6
413,公路局材料站宿舍 ,13824.142857142857,96.14285714285714,7
414,六中宿舍 ,30055.5,207.5,2
415,六安路187号 ,17527.0,154.0,4
416,六安路18号 ,27419.0,159.0,1
417,六安路1号市教委 ,19706.5,167.5,2
418,六安路211号 ,23943.5,92.5,4
419,六安路215号 ,23730.0,113.0,1
420,六安路219号 ,19149.666666666668,131.66666666666666,3
421,六安路45号 ,21708.0,104.0,1
422,六安路86号 ,29660.0,175.83333333333334,6
423,兰亭公寓 ,15816.902097902097,85.4965034965035,143
424,兰亭园 ,10985.666666666666,182.73333333333332,15
425,兰亭小区 ,12958.0,170.0,1
426,兴业瑞锦苑 ,12304.0,115.4,5
427,兴业苑 ,26992.0,388.0,2
428,兴业骏豪华庭 ,13316.857142857143,107.71428571428571,7
429,兴亚商住楼 ,11562.0,113.0,1
430,兴华苑 ,11270.418181818182,105.52363636363637,55
431,兴华苑B区 ,10713.269841269841,84.84126984126983,63
432,兴园小区 ,14312.233333333334,134.86333333333332,60
433,兴园小区北区 ,14598.216666666667,116.29833333333333,60
434,兴海苑 ,10525.022727272728,89.0,44
435,兴海苑C区 ,10886.9,73.56666666666666,30
436,兴海苑D区 ,10636.121212121212,89.04545454545455,33
437,兴漕新居 ,8842.75,78.5,4
438,兴科大厦 ,13425.0,104.6,10
439,兴苑小区 ,12322.5,85.25,4
440,兴达牡丹园 ,11127.166666666666,105.8875,24
441,内森庄园 ,27121.48780487805,1083.8853658536586,41
442,军干阳光公寓 ,14968.0,213.57142857142858,14
443,军转小区 ,15485.666666666666,98.66666666666667,3
444,农垦大院 ,11079.111111111111,85.33333333333333,9
445,农委宿舍 ,18780.5,132.5,2
446,农广校宿舍 ,12719.333333333334,100.66666666666667,3
447,农机厂宿舍楼 ,10500.0,105.0,1
448,农行宿舍 ,14036.0,146.0,3
449,农贸大市场 ,9221.5,76.5,2
450,农资商住楼 ,11614.75,110.25,4
451,冠徽苑 ,11904.709090909091,103.21818181818182,55
452,冠徽苑公寓 ,6269.774193548387,36.04838709677419,31
453,凌江苑 ,14391.0,158.57142857142858,7
454,凌花苑小区 ,11232.0,92.66666666666667,3
455,凤凰国际 ,9514.923076923076,71.53846153846153,13
456,凤凰城 ,10771.166666666666,101.58333333333333,12
457,凤凰城家家景园一期 ,15039.0,127.203125,32
458,凤凰城家家景园三期 ,14614.152173913044,159.07608695652175,46
459,凤凰城家家景园二期 ,15215.560975609756,189.5121951219512,41
460,凤凰文化广场 ,18146.6,221.6,25
461,凤台路小区 ,12678.0,90.0,1
462,凤巢园 ,12545.318181818182,107.13636363636364,22
463,凤翔家园 ,14033.444444444445,125.5,9
464,凤阳三村 ,12168.583333333334,53.083333333333336,12
465,凤阳二村 ,12636.625,71.375,8
466,凤阳五村 ,13352.4,117.4,5
467,凤阳新村 ,11519.714285714286,92.71428571428571,7
468,凤阳集贸市场小区 ,11905.0,124.0,3
469,凤霞苑 ,5018.0,42.0,1
470,凤鸣花园2期 ,12168.0,106.0,1
471,凤鸣芷岸苑 ,13664.0,398.0,1
472,凯悦豪庭 ,14599.470588235294,203.1764705882353,17
473,凯旋公寓 ,18931.09677419355,128.80645161290323,31
474,凯旋公馆 ,11668.333333333334,110.77777777777777,9
475,凯旋大院 ,13406.857142857143,136.85714285714286,7
476,凯旋门 ,29531.44155844156,587.5688311688313,77
477,凯旋门二期 ,30771.75,256.859375,64
478,创新巷 ,17142.333333333332,111.66666666666667,6
479,创景花园 ,19096.647058823528,157.5235294117647,34
480,创智广场 ,13071.14406779661,90.14322033898304,118
481,利恒嘉苑 ,14492.777777777777,173.44444444444446,9
482,利港四季华庭 ,15382.377358490567,107.94339622641509,53
483,利港尚公馆 ,14518.1,143.3,10
484,利港银河广场 ,11000.0,66.0,1
485,利港银河新城 ,14584.536764705883,161.30294117647057,136
486,前城上品 ,13539.176470588236,118.11764705882354,17
487,前进小学宿舍 ,17788.0,116.66666666666667,3
488,前进巷9号 ,18442.0,219.0,2
489,剑桥小区 ,12410.25,116.75,4
490,副食品公司 ,11920.5,75.0,2
491,力天大厦 ,12741.333333333334,54.38095238095238,21
